"Weekly Projects Report - All hours - London Burndown - All projects - Filtered by: Task type, Project stage, Project Geography Hierarchy - Reporting (07/28/2014 - 07/24/2016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project/Job code, Week starting 07/28/2014, Week starting 08/04/2014, Week starting 08/11/2014, Week starting 08/18/2014, Week starting 08/25/2014, Week starting 09/01/2014, Week starting 09/08/2014, Week starting 09/15/2014, Week starting 09/22/2014, Week starting 09/29/2014, Week starting 10/06/2014, Week starting 10/13/2014, Week starting 10/20/2014, Week starting 10/27/2014, Week starting 11/03/2014, Week starting 11/10/2014, Week starting 11/17/2014, Week starting 11/24/2014, Week starting 12/01/2014, Week starting 12/08/2014, Week starting 12/15/2014, Week starting 12/22/2014, Week starting 12/29/2014, Week starting 01/05/2015, Week starting 01/12/2015, Week starting 01/19/2015, Week starting 01/26/2015, Week starting 02/02/2015, Week starting 02/09/2015, Week starting 02/16/2015, Week starting 02/23/2015, Week starting 03/02/2015, Week starting 03/09/2015, Week starting 03/16/2015, Week starting 03/23/2015, Week starting 03/30/2015, Week starting 04/06/2015, Week starting 04/13/2015, Week starting 04/20/2015, Week starting 04/27/2015, Week starting 05/04/2015, Week starting 05/11/2015, Week starting 05/18/2015, Week starting 05/25/2015, Week starting 06/01/2015, Week starting 06/08/2015, Week starting 06/15/2015, Week starting 06/22/2015, Week starting 06/29/2015, Week starting 07/06/2015, Week starting 07/13/2015, Week starting 07/20/2015, Week starting 07/27/2015, Week starting 08/03/2015, Week starting 08/10/2015, Week starting 08/17/2015, Week starting 08/24/2015, Week starting 08/31/2015, Week starting 09/07/2015, Week starting 09/14/2015, Week starting 09/21/2015, Week starting 09/28/2015, Week starting 10/05/2015, Week starting 10/12/2015, Week starting 10/19/2015, Week starting 10/26/2015, Week starting 11/02/2015, Week starting 11/09/2015, Week starting 11/16/2015, Week starting 11/23/2015, Week starting 11/30/2015, Week starting 12/07/2015, Week starting 12/14/2015, Week starting 12/21/2015, Week starting 12/28/2015, Week starting 01/04/2016, Week starting 01/11/2016, Week starting 01/18/2016, Week starting 01/25/2016, Week starting 02/01/2016, Week starting 02/08/2016, Week starting 02/15/2016, Week starting 02/22/2016, Week starting 02/29/2016, Week starting 03/07/2016, Week starting 03/14/2016, Week starting 03/21/2016, Week starting 03/28/2016, Week starting 04/04/2016, Week starting 04/11/2016, Week starting 04/18/2016, Week starting 04/25/2016, Week starting 05/02/2016, Week starting 05/09/2016, Week starting 05/16/2016, Week starting 05/23/2016, Week starting 05/30/2016, Week starting 06/06/2016, Week starting 06/13/2016, Week starting 06/20/2016, Week starting 06/27/2016, Week starting 07/04/2016, Week starting 07/11/2016, Week starting 07/18/2016,Total
1 - Master APP MVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,197.5,154.75,117,127.5,161.5,113.5,129.25,94.25,64,90.75,85.75,48.75,70.5,81,92,58,29,46,42.5,0,1966.5
     Engagement Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,1,1,1.5,1,1,0,0.75,0,0.75,1,5,0,0,0,0,0,0,14.75
     Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
     Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,121.5,120,92,95.5,120.5,109,107.25,87.75,62.5,90,85.75,48,68.5,76,92,58,29,46,42.5,0,1634.75
     Designer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
     Product Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,28,25,31,40,3,21,5.5,1.5,0,0,0,0,0,0,0,0,0,0,0,230
1 - Online Mortgages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,89.5,62.75,127.5,220.25,193.25,190.25,209.5,291.75,266.5,280.5,241.75,306.75,203,259.75,294,297,233.5,267.5,285,275,319.25,344,342,394.75,428.5,354.5,398.25,384.75,187.5,55,401.25,468.5,431.75,402.5,358,282,299.75,250.25,175.75,171,195.75,132.5,129,167,156,121.25,132.5,88.5,163.5,166.5,113.5,90.5,114.5,110,102,78.5,56,0,0,13199.25
     Customer Solutions Director,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
     Engagement Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25.5,32,24.5,29.5,3,0,1,0.5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5,5,6.75,8.5,4,5,1,0,2,4.5,1.5,1.5,1.5,1,4,1,1.5,1,1,0,1.5,0,0,0,0,188.75
     Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,24,1.75,73,110.75,113,112,144,189.5,174,161,124,187.25,143,175.75,178,183,171.25,174,181,167,173.25,225.5,239,240.75,277,232.5,299.75,302.75,148.5,48.5,325.25,372.5,337.25,291,240,154.5,216,163,115,117.75,151.25,90,85.5,102.5,108.5,111.75,95.5,56,120,123,96,89.5,113.5,110,100.5,78.5,0,0,0,8953.5
